Name,Scholar ID,Affiliation,Total Citations,H-index,I10-index,Research Interests,Scholar URL
Nektarios Georgios Tsoutsos,f3TVR3kAAAAJ,"Assistant Professor, University of Delaware",1243,18,24,"Private Computation, Hardware Security, Computer Architecture, Applied Cryptography",https://scholar.google.com/citations?user=f3TVR3kAAAAJ
Maryam Vaziri Pashkam,SIwRcDEAAAAJ,"Assistant Professor, University of Delaware",1155,18,21,"Cognitive neuroscience, intersection of vision and action.",https://scholar.google.com/citations?user=SIwRcDEAAAAJ
Fabrice Veron,9m2Mp0gAAAAJ,Professor of Physical Ocean Science and engineering,3199,31,41,,https://scholar.google.com/citations?user=9m2Mp0gAAAAJ
Dionisios G. Vlachos,_TjWHEsAAAAJ,University of Delaware,43549,113,524,"Multiscale Modeling and Data Science, Sustainability, Electrification, Catalysis, Plastics and Biomass",https://scholar.google.com/citations?user=_TjWHEsAAAAJ
Carolyn B. Voter,zJyXCuoAAAAJ,University of Delaware,123,4,4,Sustainable water resources in human dominated landscapes,https://scholar.google.com/citations?user=zJyXCuoAAAAJ
Shuai Wang,mx4g7kcAAAAJ,"Assistant Professor, University of Delaware",763,17,23,"Tropical Cyclones, Natural Hazards, Climate Modelling, Climate Service",https://scholar.google.com/citations?user=mx4g7kcAAAAJ
Timothy Webb,YFwYFpIAAAAJ,"Associate Professor of Hospitality and Sport Business Management, University of Delaware",358,11,11,"Revenue Management, Analytics, Forecasting",https://scholar.google.com/citations?user=YFwYFpIAAAAJ
Joshua Wilson,Ly3EPOkAAAAJ,University of Delaware,2192,23,31,"writing assessment, writing instruction, automated scoring, automated feedback, automated writing evaluation",https://scholar.google.com/citations?user=Ly3EPOkAAAAJ
K Eric Wommack,EfWbszEAAAAJ,"Professor of Environmental Microbiology, University of Delaware",13010,54,84,"viral ecology, microbial ecology, biological oceanography, virus-host interactions, viruses of microbes",https://scholar.google.com/citations?user=EfWbszEAAAAJ
Xiang-Gen Xia,RTaxYm8AAAAJ,"Department of Electrical and Computer Engineering, University of Delaware, Newark, DE 19716, USA",33072,90,454,"signal processing, digital communications, radar signal processing",https://scholar.google.com/citations?user=RTaxYm8AAAAJ
Xiao-Hai Yan,FyOYr4cAAAAJ,Professor of University of Delaware,6694,43,135,"remote sensing, oceanography",https://scholar.google.com/citations?user=FyOYr4cAAAAJ
Ming Zhao,D0YRBkcAAAAJ,"Associate Professor of Operations Management, University of Delaware",413,11,12,"Data Driven Optimization, Supply Chain Management, Healthcare",https://scholar.google.com/citations?user=D0YRBkcAAAAJ
Ryan Zurakowski,Ryq7X_0AAAAJ,"Associate Professor of Biomedical Engineering, University of Delaware",1988,20,29,"Computational Biology, Mathematical Biology, Nonlinear Control Systems, HIV",https://scholar.google.com/citations?user=Ryq7X_0AAAAJ
Haider Ali Chishty,BskuCskAAAAJ,"Ph.D. Candidate, University of Delaware",3,1,0,"wearable robotics, exoskeletons, gravity compensation, kinematic compatibility",https://scholar.google.com/citations?user=BskuCskAAAAJ
Tim Bunnell,Y5PU6PcAAAAJ,Nemours biomedical research and university of delaware,2968,26,45,"speech synthesis, speech perception, speech production, bioinformatics",https://scholar.google.com/citations?user=Y5PU6PcAAAAJ
Fang Fang Chen,Ue24I5oAAAAJ,University of Delaware,18624,24,30,"Social Psychology, Quantitative Psychology",https://scholar.google.com/citations?user=Ue24I5oAAAAJ
Md. Jobayer Hossain,Ga6Spg4AAAAJ,"Nemours Biostatistics Core,  Applied Economics and Statistics, University of Delaware",14538,56,346,"Clustering longitudinal data, Analysis of complex correlated data",https://scholar.google.com/citations?user=Ga6Spg4AAAAJ
Medina Jackson-Browne,a0dUo-MAAAAJ,University of Delaware,357,8,8,"Environmental Health, Environmental Epidemiology, Molecular Epidemiology",https://scholar.google.com/citations?user=a0dUo-MAAAAJ
